Country,Employment,FormalEducation,DevType,YearsCodingProf,EducationTypes,Age,Salary,ConvertedSalary
United States,Employed full-time,Medium,Back-end developer,1,Completed an industry certification program (e.g. MCPD),30,62000.0,62000.0
United States,Employed full-time,High,Back-end developer,16,Taken an online course in programming or software development (e.g. a MOOC),40,180000.0,180000.0
India,Employed full-time,Medium,Desktop or enterprise applications developer,7,Completed an industry certification program (e.g. MCPD),30,2250000.0,35222.0
United States,Employed full-time,Medium,Back-end developer,7,Received on-the-job training in software development,30,85500.0,85500.0
India,Employed full-time,Medium,Full-stack developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,400000.0,6262.0
United Kingdom,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,37000.0,51394.0
United States,Employed full-time,Medium,Designer,1,Received on-the-job training in software development,30,42000.0,42000.0
United Kingdom,Employed full-time,Low,Back-end developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,34000.0,47227.0
United States,Employed full-time,Medium,Data scientist or machine learning specialist,1,Received on-the-job training in software development,21,65000.0,65000.0
United Kingdom,Employed full-time,High,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,39730.0,55187.0
Germany,Employed full-time,Medium,Full-stack developer,7,Completed an industry certification program (e.g. MCPD),21,52000.0,63642.0
India,Employed full-time,Medium,Full-stack developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,900000.0,14089.0
United States,Employed full-time,Medium,Full-stack developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,101000.0,101000.0
India,Employed full-time,Medium,Back-end developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",21,144000.0,2254.0
United States,Employed full-time,Medium,Embedded applications or devices developer,10,"Taught yourself a new language, framework, or tool without taking a formal course",30,97000.0,97000.0
United States,Employed full-time,High,Back-end developer,13,Taken an online course in programming or software development (e.g. a MOOC),30,100000.0,100000.0
United States,Employed full-time,High,DevOps specialist,5,Received on-the-job training in software development,21,150000.0,150000.0
United States,Employed full-time,Medium,Embedded applications or devices developer,5,Received on-the-job training in software development,21,101000.0,101000.0
United Kingdom,Employed full-time,High,Back-end developer,13,Taken an online course in programming or software development (e.g. a MOOC),40,56000.0,77786.0
India,Employed full-time,Medium,Data or business analyst,5,Taken an online course in programming or software development (e.g. a MOOC),30,700000.0,9667.0
United Kingdom,Employed full-time,High,Back-end developer,7,Taken a part-time in-person course in programming or software development,30,50000.0,69452.0
United States,Employed full-time,Medium,Back-end developer,16,Received on-the-job training in software development,40,100000.0,100000.0
United States,Employed full-time,High,Mobile developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,106000.0,106000.0
United Kingdom,Employed full-time,High,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),30,30000.0,41671.0
United Kingdom,Employed full-time,Medium,Back-end developer,10,Received on-the-job training in software development,30,50000.0,69452.0
India,Employed full-time,Medium,Embedded applications or devices developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,800000.0,12524.0
United States,Employed full-time,Medium,Data or business analyst,7,Taken an online course in programming or software development (e.g. a MOOC),30,90000.0,90000.0
Germany,Employed full-time,Low,Back-end developer,5,Received on-the-job training in software development,30,3300.0,3597.0000000000005
United States,Employed full-time,Medium,Back-end developer,28,"Taught yourself a new language, framework, or tool without taking a formal course",60,150000.0,150000.0
United Kingdom,Employed full-time,High,Full-stack developer,5,Received on-the-job training in software development,30,39300.0,54589.0
India,Employed full-time,Medium,Front-end developer,7,Participated in a full-time developer training program or bootcamp,30,90000.0,16908.0
Canada,Employed full-time,Medium,Back-end developer,30,Taken a part-time in-person course in programming or software development,60,80000.0,64417.0
United States,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),30,51000.0,51000.0
United Kingdom,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,62000.0,86120.0
United Kingdom,Employed full-time,Medium,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",21,35000.0,583392.0
United States,Employed full-time,Medium,Back-end developer,5,Received on-the-job training in software development,30,72000.0,72000.0
United Kingdom,Employed full-time,High,Back-end developer,5,Received on-the-job training in software development,30,55000.0,76397.0
United States,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),30,78300.0,78300.0
United States,Employed full-time,Medium,Front-end developer,10,Taken an online course in programming or software development (e.g. a MOOC),30,100000.0,100000.0
United States,Employed full-time,Medium,Back-end developer,10,Taken a part-time in-person course in programming or software development,30,128029.0,128029.0
United States,Employed full-time,Medium,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,70000.0,70000.0
Canada,Employed full-time,High,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),40,77000.0,62001.0
United Kingdom,Employed full-time,High,Full-stack developer,5,Participated in a hackathon,30,56500.0,78481.0
India,Employed full-time,Medium,Back-end developer,5,Received on-the-job training in software development,30,22000.0,4128.0
India,Employed full-time,Medium,Mobile developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,648000.0,10144.0
Canada,Employed full-time,Medium,Back-end developer,5,Received on-the-job training in software development,30,76500.0,61599.0
United Kingdom,Employed full-time,Medium,Front-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,32500.0,45144.0
India,Employed full-time,Medium,Embedded applications or devices developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,840000.0,157800.0
United States,Employed full-time,Medium,Back-end developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,110000.0,110000.0
